rank,material_id,formula,space_group,theta_D_K,lambda,lambda_source,Tc_estimated_K,Tc_experimental_K,R_tau,R_tau_multi,n_channels,channels,channels_needed_300K,pressure_GPa,notes
510,mp-1227490,CeH3(SO4)3,P6_3,197.9,1.200,hydride heuristic (H_count=3),13.86,0.0,0.030483,0.060967,2,phonon+spin,22,0.0,
511,mp-1104116,La2H5,I4_1/amd,242.0,1.500,hydride heuristic (H_count=5),22.65,0.0,0.060914,0.060914,1,phonon,14,0.0,
512,mp-763238,Li2Cr2P4H3O16,P1,197.6,1.200,hydride heuristic (H_count=3),13.84,0.0,0.030387,0.060773,2,phonon+spin,22,0.0,
513,mp-24208,CrH2,Fm-3m,226.4,1.000,light-element hydride heuristic,12.01,0.0,0.030221,0.060442,2,phonon+spin,25,0.0,
514,mp-643793,Cu3H2(OF2)2,P2_1/c,226.2,1.000,light-element hydride heuristic,12.00,0.0,0.030163,0.060326,2,phonon+spin,25,0.0,
515,mp-756507,LiFePHO5,P-1,203.8,0.900,light-element hydride heuristic,8.86,0.0,0.020050,0.060151,3,phonon+spin+orbital,34,0.0,
516,mp-776748,Cr2P4H3O16,P1,196.4,1.200,hydride heuristic (H_count=3),13.76,0.0,0.030039,0.060079,2,phonon+spin,22,0.0,
517,mp-728306,NaCoP3(H4O5)2,Pbca,181.0,1.350,hydride heuristic (H_count=4),14.90,0.0,0.029979,0.059958,2,phonon+spin,21,0.0,
518,mp-1177823,Li2VFeP2(HO5)2,P-1,203.0,0.900,light-element hydride heuristic,8.82,0.0,0.019891,0.059673,3,phonon+spin+orbital,35,0.0,
519,mp-760016,LiVFeP2(HO5)2,P-1,202.4,0.900,light-element hydride heuristic,8.79,0.0,0.019773,0.059320,3,phonon+spin+orbital,35,0.0,
520,mp-1203787,Ca6MnBe4Si6HO24,Pnma,202.2,0.900,light-element hydride heuristic,8.79,0.0,0.019746,0.059238,3,phonon+spin+charge,35,0.0,
521,mp-1101820,MgTi3H8,Pm-3m,206.3,2.000,hydride heuristic (H_count=8),25.83,0.0,0.059198,0.059198,1,phonon,12,0.0,
522,mp-1070860,EuHCl,P4/nmm,246.1,0.900,light-element hydride heuristic,10.70,0.0,0.029251,0.058502,2,phonon+spin,29,0.0,
523,mp-1204177,Na6Co3B9P6H3O38,P6_3,193.4,1.200,hydride heuristic (H_count=3),13.55,0.0,0.029114,0.058229,2,phonon+spin,23,0.0,
524,mp-24095,PrH2,Fm-3m,245.4,0.900,metal hydride heuristic,10.67,0.0,0.029084,0.058169,2,phonon+spin,29,0.0,
525,mp-24073,Gd(HO)3,P6_3/m,245.4,0.900,light-element hydride heuristic,10.67,0.0,0.029083,0.058166,2,phonon+spin,29,0.0,
526,mp-697156,BaCu2P2H2O9,P2_12_12_1,222.0,1.000,light-element hydride heuristic,11.78,0.0,0.029062,0.058124,2,phonon+spin,26,0.0,
527,mp-505372,Np(BH4)4,P4_2/nmc,177.7,1.350,hydride heuristic (H_count=4),14.63,0.0,0.028896,0.057791,2,phonon+spin,21,0.0,
528,mp-733675,K6Na15Tl18H,Pm-3,244.5,0.900,light-element hydride heuristic,10.63,0.0,0.028880,0.057759,2,phonon+topological,29,0.0,
529,mp-1220899,Na6Fe2P4HO17,P1,199.6,0.900,light-element hydride heuristic,8.67,0.0,0.019232,0.057695,3,phonon+spin+orbital,35,0.0,
530,mp-1018094,BaGaSnH,P3m1,244.2,0.900,light-element hydride heuristic,10.61,0.0,0.028805,0.057609,2,phonon+topological,29,0.0,
531,mp-1203923,Cu3B6H2O13,Fdd2,220.0,1.000,light-element hydride heuristic,11.67,0.0,0.028528,0.057055,2,phonon+spin,26,0.0,
532,mp-1210167,Nb6HSI9,P-1,242.8,0.900,light-element hydride heuristic,10.55,0.0,0.028476,0.056952,2,phonon+charge,29,0.0,
533,mp-1195162,Ba3V2H12(C5O14)2,C2/c,187.6,2.400,hydride heuristic (H_count=12),27.33,0.0,0.056945,0.056945,1,phonon,11,0.0,
534,mp-1204687,Cu3P2H2O9,C2/c,219.7,1.000,light-element hydride heuristic,11.66,0.0,0.028452,0.056904,2,phonon+spin,26,0.0,
535,mp-1211371,NaCu2H3O10,C2/m,190.9,1.200,hydride heuristic (H_count=3),13.37,0.0,0.028362,0.056725,2,phonon+spin,23,0.0,
536,mp-758760,LiFeP2HO8,P2_1,197.6,0.900,light-element hydride heuristic,8.59,0.0,0.018853,0.056560,3,phonon+spin+orbital,35,0.0,
537,mp-1195165,CdCuAsHO5,Pnma,241.6,0.900,light-element hydride heuristic,10.50,0.0,0.028192,0.056384,2,phonon+spin,29,0.0,
538,mp-1204024,Zn3As2H7O12,Pnma,206.0,1.900,hydride heuristic (H_count=7),24.61,0.0,0.056319,0.056319,1,phonon,13,0.0,
539,mp-1220315,NbVH4,P4/mmm,248.1,1.350,hydride heuristic (H_count=4),20.42,0.0,0.056303,0.056303,1,phonon,15,0.0,
540,mp-761809,RbHoHS2O9,P2_1/c,217.5,1.000,light-element hydride heuristic,11.54,0.0,0.027891,0.055781,2,phonon+spin,26,0.0,
541,mp-504588,Cu2H2CO5,P2_1/c,216.1,1.000,light-element hydride heuristic,11.47,0.0,0.027548,0.055095,2,phonon+spin,27,0.0,
542,mp-978852,SrGaSnH,P3m1,238.8,0.900,light-element hydride heuristic,10.38,0.0,0.027540,0.055080,2,phonon+topological,29,0.0,
543,mp-569921,Nb3H12C4NCl9,P-3m1,183.7,2.400,hydride heuristic (H_count=12),26.77,0.0,0.054654,0.054654,1,phonon,12,0.0,
544,mp-27913,CoHO2,R-3m,237.7,0.900,light-element hydride heuristic,10.33,0.0,0.027289,0.054578,2,phonon+spin,30,0.0,
545,mp-1201655,CaCuGeH2O5,P2_1/c,214.8,1.000,light-element hydride heuristic,11.40,0.0,0.027200,0.054400,2,phonon+spin,27,0.0,
546,mp-1193301,NaFe2P2HO8,P-1,193.4,0.900,light-element hydride heuristic,8.41,0.0,0.018071,0.054214,3,phonon+spin+orbital,36,0.0,
547,mp-23972,Fe2P3(HO3)3,P6_3/m,193.2,0.900,light-element hydride heuristic,8.40,0.0,0.018024,0.054073,3,phonon+spin+orbital,36,0.0,
548,mp-1199428,K6In3H12(N8O27)2,I-43d,182.5,2.400,hydride heuristic (H_count=12),26.59,0.0,0.053915,0.053915,1,phonon,12,0.0,
549,mp-560128,EuHSO5,P2_1/c,236.2,0.900,light-element hydride heuristic,10.27,0.0,0.026949,0.053898,2,phonon+spin,30,0.0,
550,mp-1233851,MgCd4Cu4As4(HO5)4,Pm,235.7,0.900,light-element hydride heuristic,10.25,0.0,0.026837,0.053673,2,phonon+spin,30,0.0,
551,mp-1234648,MgCd4Cu4As4(HO5)4,Pm,235.5,0.900,light-element hydride heuristic,10.24,0.0,0.026792,0.053584,2,phonon+spin,30,0.0,
552,mp-989528,Rb2AlInH6,Fm-3m,206.0,1.800,hydride heuristic (H_count=6),23.38,0.0,0.053535,0.053535,1,phonon,13,0.0,
553,mp-1193268,Cu3H2(CO4)2,P2_1,213.0,1.000,light-element hydride heuristic,11.30,0.0,0.026753,0.053506,2,phonon+spin,27,0.0,
554,mp-1191131,Mg7NbH16,Fm-3m,181.7,2.400,hydride heuristic (H_count=16),26.48,0.0,0.053462,0.053462,1,phonon,12,0.0,
555,mp-1233826,MgCd4Cu4As4(HO5)4,P1,235.2,0.900,light-element hydride heuristic,10.22,0.0,0.026719,0.053438,2,phonon+spin,30,0.0,
556,mp-2016808,AgHO2,Cm,235.0,0.900,light-element hydride heuristic,10.21,0.0,0.026674,0.053348,2,phonon+spin,30,0.0,
557,mp-1080246,Mn6HO12,Cc,234.6,0.900,light-element hydride heuristic,10.20,0.0,0.026574,0.053148,2,phonon+spin,30,0.0,
558,mp-23733,Cu3H2(CO4)2,P2_1/c,211.9,1.000,light-element hydride heuristic,11.25,0.0,0.026485,0.052969,2,phonon+spin,27,0.0,
559,mp-505087,Co3P2(H2O5)2,P2_1/c,210.8,1.000,light-element hydride heuristic,11.19,0.0,0.026204,0.052408,2,phonon+spin,27,0.0,
560,mp-780330,Li2MnP4H3O14,P2_1/c,183.5,1.200,hydride heuristic (H_count=3),12.85,0.0,0.026201,0.052402,2,phonon+spin,24,0.0,
561,mp-996956,CuHO2,Pmn2_1,232.6,0.900,light-element hydride heuristic,10.11,0.0,0.026128,0.052256,2,phonon+spin,30,0.0,
562,mp-697072,CuHIO4,Pnma,232.5,0.900,light-element hydride heuristic,10.10,0.0,0.026098,0.052195,2,phonon+spin,30,0.0,
563,mp-1178861,Zn3P2H7O12,P2_12_12_1,198.2,1.900,hydride heuristic (H_count=7),23.68,0.0,0.052130,0.052130,1,phonon,13,0.0,
564,mp-1226919,Co3Ag2P3HO12,Cc,231.7,0.900,light-element hydride heuristic,10.07,0.0,0.025913,0.051827,2,phonon+spin,30,0.0,
565,mp-684828,NaCeH2S2O9,P3_2,209.4,1.000,light-element hydride heuristic,11.11,0.0,0.025863,0.051726,2,phonon+spin,27,0.0,
566,mp-560905,Na2NpH2(CO3)3,P-1,209.2,1.000,light-element hydride heuristic,11.10,0.0,0.025810,0.051619,2,phonon+spin,28,0.0,
567,mp-1212065,K2HRuCl5,Pnma,188.6,0.900,light-element hydride heuristic,8.20,0.0,0.017177,0.051530,3,phonon+spin+orbital,37,0.0,
568,mp-862910,PmH3,Fm-3m,257.3,1.200,hydride heuristic (H_count=3),18.02,0.0,0.051519,0.051519,1,phonon,17,0.0,
569,mp-1018091,CaGaSnH,P3m1,230.7,0.900,light-element hydride heuristic,10.03,0.0,0.025709,0.051419,2,phonon+topological,30,0.0,
570,mp-697492,BaV2Cu3(HO5)2,C2/m,230.6,0.900,light-element hydride heuristic,10.02,0.0,0.025671,0.051341,2,phonon+spin,30,0.0,
571,mp-698264,CsVH12(C2O7)2,C2/m,178.0,2.400,hydride heuristic (H_count=12),25.94,0.0,0.051318,0.051318,1,phonon,12,0.0,
572,mp-1080220,Mn12HO24,Pc,230.3,0.900,light-element hydride heuristic,10.01,0.0,0.025614,0.051228,2,phonon+spin,30,0.0,
573,mp-504990,RbCeH2S2O9,P2_1/c,208.1,1.000,light-element hydride heuristic,11.05,0.0,0.025547,0.051094,2,phonon+spin,28,0.0,
574,mp-1213314,Cu5As2(HO3)4,P2_1/c,230.0,0.900,light-element hydride heuristic,10.00,0.0,0.025546,0.051091,2,phonon+spin,31,0.0,
575,mp-1222231,Mg13(NbH16)2,P4/mmm,177.0,2.400,hydride heuristic (H_count=16),25.80,0.0,0.050747,0.050747,1,phonon,12,0.0,
576,mp-675581,Cr2HO4,P2/m,229.0,0.900,light-element hydride heuristic,9.95,0.0,0.025314,0.050628,2,phonon+spin,31,0.0,
577,mp-625915,Ce(HO)3,P6_3/m,228.9,0.900,light-element hydride heuristic,9.95,0.0,0.025310,0.050619,2,phonon+spin,31,0.0,
578,mp-626794,Ni(HO)2,R-3m,186.8,0.900,light-element hydride heuristic,8.12,0.0,0.016856,0.050569,3,phonon+spin+orbital,37,0.0,
579,mp-996999,CuHO2,Cmc2_1,228.8,0.900,light-element hydride heuristic,9.94,0.0,0.025281,0.050562,2,phonon+spin,31,0.0,
580,mp-1095024,Ti4H5,P-42m,220.5,1.500,hydride heuristic (H_count=5),20.63,0.0,0.050547,0.050547,1,phonon,15,0.0,
581,mp-1004758,Mn3(HO3)2,C2/m,228.5,0.900,light-element hydride heuristic,9.93,0.0,0.025218,0.050436,2,phonon+spin,31,0.0,
582,mp-697501,VH2SeO5,P-1,206.4,1.000,light-element hydride heuristic,10.95,0.0,0.025120,0.050240,2,phonon+topological,28,0.0,
583,mp-1204938,EuCrHO5,P2_1/c,227.9,0.900,light-element hydride heuristic,9.90,0.0,0.025075,0.050150,2,phonon+spin,31,0.0,
584,mp-1205176,Ti2P3H7NO13,P2_13,194.3,1.900,hydride heuristic (H_count=7),23.21,0.0,0.050113,0.050113,1,phonon,13,0.0,
585,mp-1003317,Mn3HO6,Cm,227.7,0.900,light-element hydride heuristic,9.90,0.0,0.025043,0.050086,2,phonon+spin,31,0.0,
586,mp-862560,Cu3Mo2(HO5)2,P-1,227.3,0.900,light-element hydride heuristic,9.88,0.0,0.024946,0.049892,2,phonon+spin,31,0.0,
587,mp-1203793,CeB4H2ClO8,Cc,205.7,1.000,light-element hydride heuristic,10.91,0.0,0.024940,0.049881,2,phonon+spin,28,0.0,
588,mp-703515,CaCuSiH2O5,P2_1/c,205.5,1.000,light-element hydride heuristic,10.91,0.0,0.024901,0.049803,2,phonon+spin,28,0.0,
589,mp-1202678,Cs2U3P6(HO5)4,C2/m,227.1,0.900,light-element hydride heuristic,9.87,0.0,0.024898,0.049796,2,phonon+spin,31,0.0,
590,mp-2646929,Ce(BH4)3,Pa-3,164.7,1.350,hydride heuristic (H_count=4),13.56,0.0,0.024809,0.049617,2,phonon+spin,23,0.0,
591,mp-740764,Cu9P4(HO10)2,P-1,226.6,0.900,light-element hydride heuristic,9.85,0.0,0.024803,0.049605,2,phonon+spin,31,0.0,
592,mp-510452,CeHSO5,P2_1/c,226.5,0.900,light-element hydride heuristic,9.84,0.0,0.024763,0.049526,2,phonon+spin,31,0.0,
593,mp-1003765,Mn2HO4,Cc,226.4,0.900,light-element hydride heuristic,9.84,0.0,0.024745,0.049491,2,phonon+spin,31,0.0,
594,mp-626068,MnHO2,Pmn2_1,226.2,0.900,light-element hydride heuristic,9.83,0.0,0.024713,0.049425,2,phonon+spin,31,0.0,
595,mp-1198068,Cu2As(HO3)2,P-1,226.0,0.900,light-element hydride heuristic,9.82,0.0,0.024673,0.049345,2,phonon+spin,31,0.0,
596,mp-29159,MnHO2,P2_1/c,225.9,0.900,light-element hydride heuristic,9.82,0.0,0.024653,0.049306,2,phonon+spin,31,0.0,
597,mp-765091,VCu2HO5,Pnma,225.8,0.900,light-element hydride heuristic,9.81,0.0,0.024620,0.049240,2,phonon+spin,31,0.0,
598,mp-1224661,Ge3P6H42N12O25,C2/m,174.3,2.400,hydride heuristic (H_count=42),25.40,0.0,0.049194,0.049194,1,phonon,12,0.0,
599,mp-727331,CoHO2,P6_3/mmc,225.5,0.900,light-element hydride heuristic,9.80,0.0,0.024565,0.049130,2,phonon+spin,31,0.0,
600,mp-24522,CuH2SO5,P-1,204.1,1.000,light-element hydride heuristic,10.83,0.0,0.024557,0.049114,2,phonon+spin,28,0.0,
601,mp-626843,Ni(HO)2,C2,184.1,0.900,light-element hydride heuristic,8.00,0.0,0.016363,0.049090,3,phonon+spin+orbital,38,0.0,
602,mp-1283838,CoHO2,P-1,225.3,0.900,light-element hydride heuristic,9.79,0.0,0.024506,0.049011,2,phonon+spin,31,0.0,
603,mp-1178150,KCu2H2(SO5)2,C2/m,203.7,1.000,light-element hydride heuristic,10.81,0.0,0.024460,0.048919,2,phonon+spin,28,0.0,
604,mp-24242,CuHOF,P2_1/c,224.9,0.900,light-element hydride heuristic,9.78,0.0,0.024432,0.048864,2,phonon+spin,31,0.0,
605,mp-1192183,Mg7VH16,Fm-3m,173.7,2.400,hydride heuristic (H_count=16),25.31,0.0,0.048862,0.048862,1,phonon,12,0.0,
606,mp-541374,RbMnH2OF4,C2/c,203.5,1.000,light-element hydride heuristic,10.80,0.0,0.024427,0.048854,2,phonon+spin,28,0.0,
607,mp-24706,Co3AgP3(HO6)2,C2/c,224.8,0.900,light-element hydride heuristic,9.77,0.0,0.024405,0.048810,2,phonon+spin,31,0.0,
608,mp-1197678,VCu2HO5,P2_12_12_1,224.7,0.900,light-element hydride heuristic,9.77,0.0,0.024388,0.048776,2,phonon+spin,31,0.0,
609,mp-505247,NaCo3As3(HO6)2,C2/c,224.6,0.900,light-element hydride heuristic,9.76,0.0,0.024353,0.048706,2,phonon+spin,31,0.0,
610,mp-769295,AgH8O5,P2_12_12_1,187.1,2.000,hydride heuristic (H_count=8),23.42,0.0,0.048698,0.048698,1,phonon,13,0.0,
611,mp-556753,V2Cu5(HO3)4,P-1,224.4,0.900,light-element hydride heuristic,9.75,0.0,0.024316,0.048632,2,phonon+spin,31,0.0,
612,mp-1203248,TiH24C6I3(N2O)6,R-3c,173.3,2.400,hydride heuristic (H_count=24),25.25,0.0,0.048619,0.048619,1,phonon,12,0.0,
613,mp-510463,KCeH2S2O9,P2_1/c,202.8,1.000,light-element hydride heuristic,10.76,0.0,0.024257,0.048515,2,phonon+spin,28,0.0,
614,mp-1207079,SrH3Pd,Pm-3m,249.6,1.200,hydride heuristic (H_count=3),17.49,0.0,0.048504,0.048504,1,phonon,18,0.0,
615,mp-996958,AgHO2,Cm,224.0,0.900,light-element hydride heuristic,9.74,0.0,0.024238,0.048476,2,phonon+spin,31,0.0,
616,mp-1280464,CoHO2,R-3m,223.9,0.900,light-element hydride heuristic,9.73,0.0,0.024199,0.048398,2,phonon+spin,31,0.0,
617,mp-626071,Mo2HO6,Pm,223.6,0.900,light-element hydride heuristic,9.72,0.0,0.024149,0.048299,2,phonon+spin,31,0.0,
618,mp-1203965,KEuH2S2O9,P2_1/c,202.2,1.000,light-element hydride heuristic,10.73,0.0,0.024105,0.048210,2,phonon+spin,28,0.0,
619,mp-625393,Mn2HO4,Pmc2_1,223.2,0.900,light-element hydride heuristic,9.70,0.0,0.024051,0.048101,2,phonon+spin,31,0.0,
620,mp-626270,MnHO2,Pnma,223.2,0.900,light-element hydride heuristic,9.70,0.0,0.024049,0.048099,2,phonon+spin,31,0.0,
621,mp-626489,V2HO4,Pm,223.0,0.900,light-element hydride heuristic,9.69,0.0,0.024015,0.048030,2,phonon+spin,31,0.0,
622,mp-510729,CaCuAsHO5,P2_12_12_1,222.8,0.900,light-element hydride heuristic,9.69,0.0,0.023982,0.047964,2,phonon+spin,31,0.0,
623,mp-510608,ZnCuAsHO5,Pnnm,222.7,0.900,light-element hydride heuristic,9.68,0.0,0.023942,0.047884,2,phonon+spin,32,0.0,
624,mp-1197081,NaMn2Si3BH2O11,P-1,201.2,1.000,light-element hydride heuristic,10.68,0.0,0.023869,0.047739,2,phonon+spin,29,0.0,
625,mp-626099,Mo2HO6,P1,222.2,0.900,light-element hydride heuristic,9.66,0.0,0.023843,0.047687,2,phonon+spin,32,0.0,
626,mp-696778,Cu3Mo2(HO5)2,P2_1/c,222.1,0.900,light-element hydride heuristic,9.65,0.0,0.023830,0.047660,2,phonon+spin,32,0.0,
627,mp-745163,Mn2Cu5P4(HO9)2,P-1,222.1,0.900,light-element hydride heuristic,9.65,0.0,0.023820,0.047641,2,phonon+spin,32,0.0,
628,mp-1226214,Co7CuAs4(HO5)4,Pm,221.9,0.900,light-element hydride heuristic,9.64,0.0,0.023778,0.047556,2,phonon+spin,32,0.0,
629,mp-1213188,Cu2AgH(SO5)2,C2/m,221.9,0.900,light-element hydride heuristic,9.64,0.0,0.023777,0.047554,2,phonon+spin,32,0.0,
630,mp-1194910,Mn(BH4)2,I4_1/acd,161.1,1.350,hydride heuristic (H_count=4),13.26,0.0,0.023730,0.047460,2,phonon+spin,23,0.0,
631,mp-984605,Ca3SnH2,Cmcm,200.6,1.000,light-element hydride heuristic,10.65,0.0,0.023726,0.047453,2,phonon+topological,29,0.0,
632,mp-1199983,Cu3Mo(HO2)4,Pnnm,221.7,0.900,light-element hydride heuristic,9.63,0.0,0.023726,0.047451,2,phonon+spin,32,0.0,
633,mp-1209962,NaVH8(NF3)2,Fm-3m,184.5,2.000,hydride heuristic (H_count=8),23.09,0.0,0.047334,0.047334,1,phonon,13,0.0,
634,mp-1200028,Al3PH29(SO14)2,P-1,171.0,2.400,hydride heuristic (H_count=29),24.91,0.0,0.047317,0.047317,1,phonon,13,0.0,
635,mp-626276,MnHO2,Pmc2_1,221.0,0.900,light-element hydride heuristic,9.60,0.0,0.023583,0.047165,2,phonon+spin,32,0.0,
636,mp-644281,Mg7TiH16,Fm-3m,170.6,2.400,hydride heuristic (H_count=16),24.86,0.0,0.047114,0.047114,1,phonon,13,0.0,
637,mp-626080,V3H5O8,Cm,212.2,1.500,hydride heuristic (H_count=5),19.86,0.0,0.046834,0.046834,1,phonon,16,0.0,
638,mp-626787,VHO2,Pnma,220.2,0.900,light-element hydride heuristic,9.57,0.0,0.023416,0.046831,2,phonon+spin,32,0.0,
639,mp-643273,NaH2Pd3,Cmmm,281.2,1.000,light-element hydride heuristic,14.92,0.0,0.046628,0.046628,1,phonon,21,0.0,
640,mp-1181094,Hf2SiH,I4/mcm,310.7,0.900,metal hydride heuristic,13.50,0.0,0.046616,0.046616,1,phonon,23,0.0,
641,mp-973064,LaH3,I4/mmm,244.4,1.200,hydride heuristic (H_count=3),17.12,0.0,0.046484,0.046484,1,phonon,18,0.0,
642,mp-33500,Cr2HO4,P2/m,219.3,0.900,light-element hydride heuristic,9.53,0.0,0.023216,0.046431,2,phonon+spin,32,0.0,
643,mp-1216687,TiVH4,R-3m,225.3,1.350,hydride heuristic (H_count=4),18.55,0.0,0.046429,0.046429,1,phonon,17,0.0,
644,mp-1018144,LaH3,Fm-3m,244.0,1.200,hydride heuristic (H_count=3),17.09,0.0,0.046339,0.046339,1,phonon,18,0.0,
645,mp-1181719,NaZn4H6SClO16,P-1,191.6,1.800,hydride heuristic (H_count=6),21.75,0.0,0.046315,0.046315,1,phonon,14,0.0,
646,mp-1003403,Mn8HO16,Pc,219.0,0.900,light-element hydride heuristic,9.52,0.0,0.023151,0.046302,2,phonon+spin,32,0.0,
647,mp-626536,NbHO3,P1,219.0,0.900,light-element hydride heuristic,9.52,0.0,0.023150,0.046300,2,phonon+spin,32,0.0,
648,mp-1205165,NaZn4H6SClO16,P-1,191.6,1.800,hydride heuristic (H_count=6),21.74,0.0,0.046288,0.046288,1,phonon,14,0.0,
649,mp-769159,LiCuPH2O5,P2_1/c,197.6,1.000,light-element hydride heuristic,10.49,0.0,0.023032,0.046064,2,phonon+spin,29,0.0,
650,mp-706287,KCuPH2O5,P2_1/c,197.5,1.000,light-element hydride heuristic,10.48,0.0,0.023001,0.046002,2,phonon+spin,29,0.0,
651,mp-1200251,Cu2PHO5,P2_1/c,217.5,0.900,light-element hydride heuristic,9.45,0.0,0.022851,0.045702,2,phonon+spin,32,0.0,
652,mp-765665,VP2H8(NO4)2,P4bm,181.2,2.000,hydride heuristic (H_count=8),22.68,0.0,0.045648,0.045648,1,phonon,14,0.0,
653,mp-510654,Cu2PHO5,Pnnm,217.1,0.900,light-element hydride heuristic,9.44,0.0,0.022765,0.045530,2,phonon+spin,32,0.0,
654,mp-697126,Ca4(H4Rh)3,Im-3m,223.0,1.350,hydride heuristic (H_count=4),18.36,0.0,0.045481,0.045481,1,phonon,17,0.0,
655,mp-1202262,NaCaPH18SO12,P2_13,167.0,2.400,hydride heuristic (H_count=18),24.34,0.0,0.045165,0.045165,1,phonon,13,0.0,
656,mp-626791,VHO2,Pmc2_1,215.9,0.900,light-element hydride heuristic,9.39,0.0,0.022518,0.045037,2,phonon+spin,32,0.0,
657,mp-1202591,Mn2AsHO5,Pnnm,215.9,0.900,light-element hydride heuristic,9.38,0.0,0.022510,0.045019,2,phonon+spin,32,0.0,
658,mp-1201746,CoP2H2O7,P2_1/c,195.2,1.000,light-element hydride heuristic,10.36,0.0,0.022462,0.044924,2,phonon+spin,29,0.0,
659,mp-720859,VH11N3Cl5,Pnma,169.2,2.300,hydride heuristic (H_count=11),23.84,0.0,0.044825,0.044825,1,phonon,13,0.0,
660,mp-1101846,Mg3TiH8,Pm-3m,179.4,2.000,hydride heuristic (H_count=8),22.45,0.0,0.044747,0.044747,1,phonon,14,0.0,
661,mp-561632,ZnCoPHO5,P-1,215.2,0.900,light-element hydride heuristic,9.35,0.0,0.022363,0.044726,2,phonon+spin,33,0.0,
662,mp-1226428,Eu2P3(HO3)3,P-1,215.1,0.900,light-element hydride heuristic,9.35,0.0,0.022339,0.044679,2,phonon+spin,33,0.0,
663,mp-703517,NaMgPH12O11,P4_2/mmc,166.1,2.400,hydride heuristic (H_count=12),24.20,0.0,0.044668,0.044668,1,phonon,13,0.0,
664,mp-626161,Al5HO8,P6_3mc,215.0,0.900,light-element hydride heuristic,9.34,0.0,0.022322,0.044644,2,phonon+spin,33,0.0,
665,mp-505105,Cu(HO)2,Cmc2_1,214.9,0.900,light-element hydride heuristic,9.34,0.0,0.022308,0.044616,2,phonon+spin,33,0.0,
666,mp-1191096,Mg6VH16,Fm-3m,165.7,2.400,hydride heuristic (H_count=16),24.14,0.0,0.044448,0.044448,1,phonon,13,0.0,
667,mp-1106280,Ca5Sn3H,I4/mcm,214.5,0.900,light-element hydride heuristic,9.32,0.0,0.022223,0.044445,2,phonon+topological,33,0.0,
668,mp-1080222,Mn2HO4,P4_2/n,214.2,0.900,light-element hydride heuristic,9.31,0.0,0.022153,0.044307,2,phonon+spin,33,0.0,
669,mp-1097903,Mn2HO4,P1,214.1,0.900,light-element hydride heuristic,9.30,0.0,0.022134,0.044269,2,phonon+spin,33,0.0,
670,mp-505401,KMnH2OF4,C2/c,193.6,1.000,light-element hydride heuristic,10.27,0.0,0.022103,0.044206,2,phonon+spin,30,0.0,
671,mp-505246,NaCo3P3(HO6)2,C2/c,213.8,0.900,light-element hydride heuristic,9.29,0.0,0.022073,0.044146,2,phonon+spin,33,0.0,
672,mp-24653,TiH8N2F5,Pnma,177.8,2.000,hydride heuristic (H_count=8),22.26,0.0,0.043967,0.043967,1,phonon,14,0.0,
673,mp-643743,CuHClO,P2_1/c,213.2,0.900,light-element hydride heuristic,9.27,0.0,0.021952,0.043903,2,phonon+spin,33,0.0,
674,mp-626121,V3H5O8,P1,204.5,1.500,hydride heuristic (H_count=5),19.14,0.0,0.043490,0.043490,1,phonon,16,0.0,
675,mp-24017,CaMnSiHO5,P2_12_12_1,211.5,0.900,light-element hydride heuristic,9.19,0.0,0.021592,0.043184,2,phonon+spin,33,0.0,
676,mp-728780,Ba2V3P6HO22,P-1,211.3,0.900,light-element hydride heuristic,9.19,0.0,0.021570,0.043140,2,phonon+spin,33,0.0,
677,mp-861683,Mn3As(HO2)4,Pnma,211.2,0.900,light-element hydride heuristic,9.18,0.0,0.021547,0.043094,2,phonon+spin,33,0.0,
678,mp-1207169,CaH3Pd,Pm-3m,235.1,1.200,hydride heuristic (H_count=3),16.47,0.0,0.043038,0.043038,1,phonon,19,0.0,
679,mp-24811,KTiH2S2O9,P2_1/m,190.8,1.000,light-element hydride heuristic,10.12,0.0,0.021463,0.042926,2,phonon+charge,30,0.0,
680,mp-24147,AcH2,Fm-3m,269.6,1.000,light-element hydride heuristic,14.31,0.0,0.042847,0.042847,1,phonon,21,0.0,
681,mp-1204151,Na2CeH2C5O11,P2_1/c,190.2,1.000,light-element hydride heuristic,10.09,0.0,0.021326,0.042651,2,phonon+spin,30,0.0,
682,mp-1202929,AgH8C2S2N4Cl,P2_1/c,175.1,2.000,hydride heuristic (H_count=8),21.92,0.0,0.042645,0.042645,1,phonon,14,0.0,
683,mp-1213607,CuAsHO4,P-1,210.1,0.900,light-element hydride heuristic,9.13,0.0,0.021314,0.042628,2,phonon+spin,33,0.0,
684,mp-733854,K2In2P2HO10,P2_12_12_1,209.8,0.900,light-element hydride heuristic,9.12,0.0,0.021246,0.042493,2,phonon+spin,33,0.0,
685,mp-1233113,BaCaAl3P2(HO7)2,Cm,209.2,0.900,light-element hydride heuristic,9.09,0.0,0.021144,0.042287,2,phonon+spin,33,0.0,
686,mp-756508,NbPHO5,P-1,209.2,0.900,light-element hydride heuristic,9.09,0.0,0.021134,0.042268,2,phonon+spin,33,0.0,
687,mp-1182046,Eu5Si3H,I4/mcm,258.8,0.750,metal hydride heuristic,7.34,0.0,0.021113,0.042226,2,phonon+spin,41,0.0,
688,mp-24291,ThH2,I4/mmm,293.9,0.900,metal hydride heuristic,12.77,0.0,0.041707,0.041707,1,phonon,24,0.0,
